Source,Target,Type,Id,Label,Weight
Petyr-Baelish,Tyrion-Lannister,Undirected,2486,,71
Myrcella-Baratheon,Tyrion-Lannister,Undirected,2397,,21
Margaery-Tyrell,Tyrion-Lannister,Undirected,2303,,10
Mace-Tyrell,Tyrion-Lannister,Undirected,2253,,18
Lysa-Arryn,Tyrion-Lannister,Undirected,2238,,36
Jorah-Mormont,Tyrion-Lannister,Undirected,2083,,27
Jon-Snow,Tyrion-Lannister,Undirected,2049,,56
Jon-Connington,Tyrion-Lannister,Undirected,1996,,37
Jon-Arryn,Tyrion-Lannister,Undirected,1988,,8
Jeor-Mormont,Tyrion-Lannister,Undirected,1912,,27
Janos-Slynt,Tyrion-Lannister,Undirected,1881,,31
Gregor-Clegane,Tyrion-Lannister,Undirected,1561,,30
Eddard-Stark,Tyrion-Lannister,Undirected,1347,,40
Doran-Martell,Tyrion-Lannister,Undirected,1246,,13
Daenerys-Targaryen,Tyrion-Lannister,Undirected,1131,,17
Catelyn-Stark,Tyrion-Lannister,Undirected,856,,69
Brienne-of-Tarth,Tyrion-Lannister,Undirected,730,,7
Bran-Stark,Tyrion-Lannister,Undirected,674,,31
Benjen-Stark,Tyrion-Lannister,Undirected,562,,8
Barristan-Selmy,Tyrion-Lannister,Undirected,504,,3
Balon-Swann,Tyrion-Lannister,Undirected,460,,15
Arya-Stark,Tyrion-Lannister,Undirected,364,,11
Aerys-II-Targaryen,Tyrion-Lannister,Undirected,103,,9
Aegon-Targaryen-(son-of-Rhaegar),Tyrion-Lannister,Undirected,35,,23
Tywin-Lannister,Walder-Frey,Undirected,2812,,12
Tywin-Lannister,Varys,Undirected,2811,,9
Tommen-Baratheon,Tywin-Lannister,Undirected,2792,,11
Theon-Greyjoy,Tywin-Lannister,Undirected,2775,,3
Stannis-Baratheon,Tywin-Lannister,Undirected,2750,,30
Sansa-Stark,Tywin-Lannister,Undirected,2705,,6
Roose-Bolton,Tywin-Lannister,Undirected,2669,,13
Robert-Baratheon,Tywin-Lannister,Undirected,2642,,29
Robb-Stark,Tywin-Lannister,Undirected,2622,,30
Rhaegar-Targaryen,Tywin-Lannister,Undirected,2590,,4
Renly-Baratheon,Tywin-Lannister,Undirected,2582,,3
Pycelle,Tywin-Lannister,Undirected,2514,,13
Podrick-Payne,Tywin-Lannister,Undirected,2496,,4
Petyr-Baelish,Tywin-Lannister,Undirected,2487,,5
Mace-Tyrell,Tywin-Lannister,Undirected,2254,,14
Lysa-Arryn,Tywin-Lannister,Undirected,2239,,4
Jon-Connington,Tywin-Lannister,Undirected,1997,,4
Gregor-Clegane,Tywin-Lannister,Undirected,1562,,20
Edmure-Tully,Tywin-Lannister,Undirected,1386,,11
Eddard-Stark,Tywin-Lannister,Undirected,1348,,18
Doran-Martell,Tywin-Lannister,Undirected,1247,,4
Catelyn-Stark,Tywin-Lannister,Undirected,858,,21
Brienne-of-Tarth,Tywin-Lannister,Undirected,731,,3
Balon-Greyjoy,Tywin-Lannister,Undirected,445,,4
Arya-Stark,Tywin-Lannister,Undirected,365,,13
Aerys-II-Targaryen,Tywin-Lannister,Undirected,104,,26
Aegon-Targaryen-(son-of-Rhaegar),Tywin-Lannister,Undirected,36,,3
Stannis-Baratheon,Varys,Undirected,2752,,10
Sansa-Stark,Varys,Undirected,2706,,8
Robert-Baratheon,Varys,Undirected,2644,,44
Robb-Stark,Varys,Undirected,2624,,3
Renly-Baratheon,Varys,Undirected,2583,,18
Pycelle,Varys,Undirected,2515,,35
Petyr-Baelish,Varys,Undirected,2488,,60
Margaery-Tyrell,Varys,Undirected,2304,,3
Jon-Connington,Varys,Undirected,1998,,6
Jon-Arryn,Varys,Undirected,1989,,5
Janos-Slynt,Varys,Undirected,1882,,7
Eddard-Stark,Varys,Undirected,1350,,64
Doran-Martell,Varys,Undirected,1248,,4
Daenerys-Targaryen,Varys,Undirected,1132,,8
Catelyn-Stark,Varys,Undirected,861,,10
Barristan-Selmy,Varys,Undirected,505,,15
Theon-Greyjoy,Walder-Frey,Undirected,2779,,4
Roose-Bolton,Walder-Frey,Undirected,2672,,3
Pycelle,Walder-Frey,Undirected,2516,,3
Edmure-Tully,Walder-Frey,Undirected,1387,,13
Roose-Bolton,Wyman-Manderly,Undirected,2674,,5
Rodrik-Cassel,Wyman-Manderly,Undirected,2657,,6
Ramsay-Snow,Wyman-Manderly,Undirected,2558,,5
Davos-Seaworth,Wyman-Manderly,Undirected,1190,,32
Bran-Stark,Wyman-Manderly,Undirected,677,,6
Benjen-Stark,Yoren,Undirected,564,,4
