Source,Target,Type,Id,Label,Weight
Cersei-Lannister,Joffrey-Baratheon,Undirected,897,,173
Cersei-Lannister,Janos-Slynt,Undirected,895,,13
Cersei-Lannister,Jaime-Lannister,Undirected,893,,130
Cersei-Lannister,Gregor-Clegane,Undirected,886,,21
Cersei-Lannister,Eddard-Stark,Undirected,880,,91
Cersei-Lannister,Doran-Martell,Undirected,877,,3
Cersei-Lannister,Daenerys-Targaryen,Undirected,876,,3
Catelyn-Stark,Cersei-Lannister,Undirected,800,,30
Brienne-of-Tarth,Cersei-Lannister,Undirected,694,,8
Bran-Stark,Cersei-Lannister,Undirected,631,,6
Benjen-Stark,Cersei-Lannister,Undirected,553,,3
Barristan-Selmy,Cersei-Lannister,Undirected,473,,17
Arya-Stark,Cersei-Lannister,Undirected,304,,25
Aerys-II-Targaryen,Cersei-Lannister,Undirected,91,,3
Craster,Tormund,Undirected,1042,,3
Daario-Naharis,Quentyn-Martell,Undirected,1071,,5
Daario-Naharis,Jorah-Mormont,Undirected,1068,,10
Daario-Naharis,Hizdahr-zo-Loraq,Undirected,1064,,14
Daario-Naharis,Drogo,Undirected,1060,,3
Daenerys-Targaryen,Victarion-Greyjoy,Undirected,1133,,7
Daenerys-Targaryen,Robert-Baratheon,Undirected,1126,,26
Daenerys-Targaryen,Rhaegar-Targaryen,Undirected,1124,,27
Daenerys-Targaryen,Quentyn-Martell,Undirected,1121,,58
Daenerys-Targaryen,Mace-Tyrell,Undirected,1103,,3
Daenerys-Targaryen,Jorah-Mormont,Undirected,1099,,161
Daenerys-Targaryen,Jon-Connington,Undirected,1098,,6
Daenerys-Targaryen,Hizdahr-zo-Loraq,Undirected,1093,,96
Daenerys-Targaryen,Eddard-Stark,Undirected,1083,,5
Daenerys-Targaryen,Drogo,Undirected,1082,,123
Daenerys-Targaryen,Doran-Martell,Undirected,1080,,3
Daario-Naharis,Daenerys-Targaryen,Undirected,1059,,65
Barristan-Selmy,Daenerys-Targaryen,Undirected,475,,83
Aegon-Targaryen-(son-of-Rhaegar),Daenerys-Targaryen,Undirected,25,,11
Davos-Seaworth,Selyse-Florent,Undirected,1186,,6
Davos-Seaworth,Renly-Baratheon,Undirected,1182,,6
Davos-Seaworth,Melisandre,Undirected,1178,,64
